role,name,team
student,seanlowcy77,CS2103-T09-1
student,JingYuOng,CS2103-T09-1
student,ErnTekTeoh,CS2103-T09-1
student,zhuhanming,CS2103-T09-1
student,YingxuH,CS2103-T09-2
student,GreenMapleLeaves,CS2103-T09-2
student,junhaotan,CS2103-T09-2
student,aliciatxl,CS2103-T09-2
student,chlalstjr,CS2103-T09-3
student,BenFheng,CS2103-T09-3
student,HubertHalim,CS2103-T09-3
student,PangKimJin,CS2103-T09-3
student,lm5lm5,CS2103-T09-4
student,WANG-Yuchen-Alice,CS2103-T09-4
student,IYVVVVV,CS2103-T09-4
student,ZhangYiping126,CS2103-T09-4
student,lth08091998,CS2103-W14-1
student,tiendat161,CS2103-W14-1
student,ShengXue97,CS2103-W14-1
student,ivanteejj,CS2103-W14-1
student,FangShaoHua94,CS2103-W14-2
student,LiuChao93,CS2103-W14-2
student,NicholasCF,CS2103-W14-2
student,PangJiaDa,CS2103-W14-2
student,nidorinas,CS2103-W14-3
student,ElysiaTanZY,CS2103-W14-3
student,hhjoel,CS2103-W14-3
student,Vanessa1098,CS2103-W14-3
student,harrychengly,CS2103-W14-4
student,l2ejected,CS2103-W14-4
student,terencemah,CS2103-W14-4
student,raivatshah,CS2103-W14-4
student,Yujian-Fu,CS2103-W15-1
student,JKOK005,CS2103-W15-1
student,agnesnatasya,CS2103-W15-2
student,CornCobs,CS2103-W15-2
student,mario7lorenzo,CS2103-W15-2
student,weiichengg,CS2103-W15-2
student,bscrow,CS2103-W15-2
student,shunde97,CS2103-W15-3
student,CranstonYeo,CS2103-W15-3
student,suwoons,CS2103-W15-3
student,nigelnnk,CS2103-W15-3
student,hanchingyong,CS2103-W15-3
student,shenghaoc,CS2103-W15-4
student,limdylan,CS2103-W15-4
student,umaikaze,CS2103-W15-4
student,tianqi77,CS2103-W15-4
student,Zhu-Ruicong,CS2103-W15-4
student,ChesterSim,CS2103T-F09-1
student,KEVVVINN,CS2103T-F09-1
student,nelsontky,CS2103T-F09-1
student,Denise-Ng,CS2103T-F09-1
student,alcen,CS2103T-F09-1
student,alam8064,CS2103T-F09-2
student,Clouddoggo,CS2103T-F09-2
student,eedenong,CS2103T-F09-2
student,yaojiethng,CS2103T-F09-2
student,yapdianhao,CS2103T-F09-2
student,dargohzy,CS2103T-F09-3
student,nathanaelseen,CS2103T-F09-3
student,teriaiw,CS2103T-F09-3
student,waynewee,CS2103T-F09-3
student,yjskrs,CS2103T-F09-3
student,grrrrnt,CS2103T-F09-4
student,mikhailfaiz,CS2103T-F09-4
student,raniceyue,CS2103T-F09-4
student,zsoh97,CS2103T-F09-4
student,vuhieunguyen,CS2103T-F09-4
student,chrisjwelly,CS2103T-F10-1
student,helloImHai,CS2103T-F10-1
student,wardetu,CS2103T-F10-1
student,nhamhung,CS2103T-F10-1
student,duongphammmm,CS2103T-F10-1
student,gerhean,CS2103T-F10-2
student,FeliciaTay,CS2103T-F10-2
student,foochifa,CS2103T-F10-2
student,ongch00,CS2103T-F10-2
student,wxwxwxwx9,CS2103T-F10-2
student,huixianc,CS2103T-F10-3
student,lohszeying,CS2103T-F10-3
student,xCelestialPhoenix,CS2103T-F10-3
student,mightyrabbit99,CS2103T-F10-3
student,BryanYap972,CS2103T-F10-3
student,alushingg,CS2103T-F10-4
student,heidicrq,CS2103T-F10-4
student,dinhnhobao,CS2103T-F10-4
student,zixinn,CS2103T-F10-4
student,NNpanpan,CS2103T-F10-4
student,ray-97,CS2103T-F11-1
student,eugenetyc,CS2103T-F11-1
student,J-Dan23,CS2103T-F11-1
student,buddhavineeth,CS2103T-F11-1
student,jeremylow97,CS2103T-F11-1
student,AaronCQL,CS2103T-F11-2
student,Yonggiee,CS2103T-F11-2
student,ziyingli,CS2103T-F11-2
student,Dban1,CS2103T-F11-2
student,tohkerwei,CS2103T-F11-2
student,SHAUNGOH97,CS2103T-F11-3
student,ignatiusong,CS2103T-F11-3
student,lsjxavier,CS2103T-F11-3
student,leslieharland,CS2103T-F11-3
student,Samanthaseahpl,CS2103T-F11-3
student,shanecsj,CS2103T-F11-4
student,gohkh,CS2103T-F11-4
student,hans555,CS2103T-F11-4
student,tzihiang,CS2103T-F11-4
student,teo-jun-xiong,CS2103T-F11-4
student,YuuTon9,CS2103T-T10-1
student,pekchinsiongbrian,CS2103T-T10-1
student,beatricetay,CS2103T-T10-1
student,tharshita,CS2103T-T10-1
student,airshhlay,CS2103T-T10-2
student,phaebaez,CS2103T-T10-2
student,haveaqiupill,CS2103T-T10-2
student,sigmund-c,CS2103T-T10-2
student,JJiahui,CS2103T-T10-3
student,zwasd,CS2103T-T10-3
student,XinPei-ng,CS2103T-T10-3
student,sp-shaopeng,CS2103T-T10-3
student,CharmaineKoh,CS2103T-T10-4
student,don-tay,CS2103T-T10-4
student,EdmondOng,CS2103T-T10-4
student,kester-ng,CS2103T-T10-4
student,Amoscheong97,CS2103T-W12-1
student,Cherweijie,CS2103T-W12-1
student,Exeexe93,CS2103T-W12-1
student,khsc96,CS2103T-W12-1
student,JeremyLoh,CS2103T-W12-1
student,garysyndromes,CS2103T-W12-2
student,tingalinga,CS2103T-W12-2
student,jerrenss,CS2103T-W12-2
student,TheElectricBlender,CS2103T-W12-2
student,Yuanyu97,CS2103T-W12-2
student,syinyichen,CS2103T-W12-3
student,CheyanneSim,CS2103T-W12-3
student,gracegrape,CS2103T-W12-3
student,jumpcutfindo,CS2103T-W12-3
student,joel-lim,CS2103T-W12-3
student,AdarshChugani,CS2103T-W12-4
student,e0316059,CS2103T-W12-4
student,sharadhr,CS2103T-W12-4
student,kevinswk94,CS2103T-W12-4
student,muhd97,CS2103T-W12-4
student,akhilvuputuri,CS2103T-W13-1
student,sheexiong,CS2103T-W13-1
student,Jarrod-Bob,CS2103T-W13-1
student,ailanthustng,CS2103T-W13-1
student,WillySeahh,CS2103T-W13-1
student,dawidjaja,CS2103T-W13-2
student,youaremysky99,CS2103T-W13-2
student,sancharib-git,CS2103T-W13-2
student,hmtey,CS2103T-W13-2
student,tanphatls987,CS2103T-W13-2
student,chanckben,CS2103T-W13-3
student,wanxuanong,CS2103T-W13-3
student,gyant6,CS2103T-W13-3
student,jadetayy,CS2103T-W13-3
student,joycelynteo,CS2103T-W13-3
student,thetruevincentchow,CS2103T-W13-4
student,capeguy,CS2103T-W13-4
student,DANamic,CS2103T-W13-4
student,gruntultra,CS2103T-W13-4
student,artlee06,CS2103T-W16-1
student,BransonNg,CS2103T-W16-1
student,FyonnOh,CS2103T-W16-1
student,Hardoh,CS2103T-W16-1
student,Permas-Teo,CS2103T-W16-1
student,alloystory,CS2103T-W16-2
student,gb3h,CS2103T-W16-2
student,jiachen247,CS2103T-W16-2
student,Guofeng-Tang,CS2103T-W16-2
student,chishanw,CS2103T-W16-2
student,gx-huang,CS2103T-W16-3
student,souwmyaa,CS2103T-W16-3
student,teikjun,CS2103T-W16-3
student,aegis-bot,CS2103T-W16-3
student,wyt-sonia,CS2103T-W16-3
student,watsheldon,CS2103T-W16-4
student,Kangwkk,CS2103T-W16-4
student,mpang45456,CS2103T-W16-4
student,xuanxinng,CS2103T-W16-4
student,zhouxinwei97,CS2103T-W16-4
student,amrl,CS2103T-W17-1
student,kschiew,CS2103T-W17-1
student,ncslzh,CS2103T-W17-1
student,oLiXino,CS2103T-W17-1
student,lacedaemon98,CS2103T-W17-1
student,firzanarmani,CS2103T-W17-2
student,HemanshuGandhi,CS2103T-W17-2
student,johannagwan,CS2103T-W17-2
student,kevinputera,CS2103T-W17-2
student,ljiazh3ng,CS2103T-W17-2
student,Deunitato,CS2103T-W17-3
student,zenatrick,CS2103T-W17-3
student,joshlay96,CS2103T-W17-3
student,loycatherine,CS2103T-W17-3
student,jwee97,CS2103T-W17-3
student,aakanksha-rai,CS2103T-W17-4
student,chuayijing,CS2103T-W17-4
student,fatin99,CS2103T-W17-4
student,PotatoCombat,CS2103T-W17-4
student,eclmist,CS2103T-W17-4
